age,education,jobclass,health,health_ins,wage
56,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,127.901233
58,1. < HS Grad,1. Industrial,1. <=Good,2. No,97.49329405
39,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,198.3502905
49,3. Some College,1. Industrial,2. >=Very Good,1. Yes,92.89584479
24,4. College Grad,2. Information,2. >=Very Good,2. No,94.07271475
61,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,148.4131591
58,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,79.85490031
47,3. Some College,2. Information,2. >=Very Good,2. No,118.8843593
41,4. College Grad,2. Information,2. >=Very Good,1. Yes,87.98103279
71,1. < HS Grad,2. Information,1. <=Good,1. Yes,94.07271475
47,3. Some College,1. Industrial,2. >=Very Good,1. Yes,150.0704769
38,4. College Grad,1. Industrial,1. <=Good,1. Yes,176.9896505
31,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,73.77574327
56,4. College Grad,2. Information,2. >=Very Good,1. Yes,125.1238157
44,4. College Grad,2. Information,2. >=Very Good,1. Yes,277.7994802
33,4. College Grad,2. Information,2. >=Very Good,1. Yes,107.9039239
36,4. College Grad,1. Industrial,2. >=Very Good,2. No,60.73977852
31,4. College Grad,2. Information,2. >=Very Good,1. Yes,92.0363233
55,3. Some College,2. Information,2. >=Very Good,1. Yes,109.8339856
48,4. College Grad,2. Information,2. >=Very Good,2. No,66.96164432
50,3. Some College,2. Information,2. >=Very Good,1. Yes,114.4757133
42,4. College Grad,2. Information,2. >=Very Good,2. No,170.6951277
25,3. Some College,2. Information,2. >=Very Good,1. Yes,130.9821774
55,2. HS Grad,1. Industrial,1. <=Good,1. Yes,127.1157438
28,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,117.1468169
30,1. < HS Grad,2. Information,1. <=Good,2. No,123.0896998
46,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,120.5894365
48,5. Advanced Degree,2. Information,1. <=Good,1. Yes,130.9821774
42,3. Some College,1. Industrial,2. >=Very Good,1. Yes,81.28325328
23,4. College Grad,1. Industrial,2. >=Very Good,2. No,36.6737042
60,5. Advanced Degree,1. Industrial,2. >=Very Good,2. No,104.9215065
34,1. < HS Grad,2. Information,2. >=Very Good,1. Yes,74.41296351
45,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,129.0678205
28,3. Some College,1. Industrial,1. <=Good,2. No,84.10001012
33,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,185.9186629
58,2. HS Grad,2. Information,2. >=Very Good,1. Yes,105.9278108
47,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,163.515864
24,3. Some College,1. Industrial,2. >=Very Good,2. No,63.188861
56,4. College Grad,1. Industrial,2. >=Very Good,2. No,134.7053751
56,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,120.9267015
23,4. College Grad,2. Information,1. <=Good,1. Yes,94.07271475
56,5. Advanced Degree,2. Information,1. <=Good,1. Yes,132.4878211
45,4. College Grad,2. Information,2. >=Very Good,1. Yes,133.2323508
58,3. Some College,2. Information,2. >=Very Good,1. Yes,145.1436012
30,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,118.8843593
46,5. Advanced Degree,1. Industrial,2. >=Very Good,2. No,150.3306535
48,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,278.9644667
50,2. HS Grad,1. Industrial,1. <=Good,1. Yes,98.26923081
43,4. College Grad,2. Information,2. >=Very Good,1. Yes,99.6894637
37,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,94.07271475
49,3. Some College,2. Information,2. >=Very Good,2. No,176.9896505
31,4. College Grad,2. Information,2. >=Very Good,1. Yes,166.3249412
54,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,94.07271475
52,4. College Grad,2. Information,2. >=Very Good,1. Yes,139.7030715
70,2. HS Grad,1. Industrial,1. <=Good,2. No,78.3924668
30,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,141.7758565
44,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,116.2653241
34,4. College Grad,2. Information,2. >=Very Good,1. Yes,148.4131591
38,2. HS Grad,1. Industrial,2. >=Very Good,2. No,87.98103279
28,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,90.48191336
38,3. Some College,1. Industrial,2. >=Very Good,1. Yes,141.7751723
39,2. HS Grad,1. Industrial,1. <=Good,2. No,63.09271673
52,4. College Grad,2. Information,1. <=Good,1. Yes,65.11085372
34,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,151.5914842
33,4. College Grad,2. Information,2. >=Very Good,1. Yes,123.0896998
45,4. College Grad,1. Industrial,1. <=Good,1. Yes,118.8843593
58,2. HS Grad,1. Industrial,1. <=Good,2. No,79.85490031
38,2. HS Grad,1. Industrial,2. >=Very Good,2. No,104.0049599
63,4. College Grad,1. Industrial,1. <=Good,2. No,55.53610442
38,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,99.6894637
31,3. Some College,1. Industrial,2. >=Very Good,2. No,99.6894637
53,4. College Grad,2. Information,2. >=Very Good,1. Yes,193.4526069
21,2. HS Grad,2. Information,1. <=Good,1. Yes,102.8702469
38,4. College Grad,2. Information,2. >=Very Good,1. Yes,164.6469889
18,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,69.6190369
28,3. Some College,1. Industrial,2. >=Very Good,1. Yes,99.6894637
33,4. College Grad,2. Information,2. >=Very Good,1. Yes,114.4757133
32,3. Some College,1. Industrial,2. >=Very Good,2. No,99.6894637
29,2. HS Grad,2. Information,2. >=Very Good,1. Yes,95.23071257
28,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,82.6796373
42,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,116.9430813
28,1. < HS Grad,2. Information,1. <=Good,2. No,54.59815003
36,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,138.2991269
47,2. HS Grad,2. Information,2. >=Very Good,1. Yes,130.9821774
53,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,281.7459706
48,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,163.515864
36,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,179.214858
55,3. Some College,2. Information,2. >=Very Good,1. Yes,126.3238807
37,1. < HS Grad,1. Industrial,1. <=Good,2. No,70.47601965
68,4. College Grad,2. Information,1. <=Good,1. Yes,118.0197533
65,2. HS Grad,1. Industrial,2. >=Very Good,2. No,71.31963879
37,4. College Grad,2. Information,2. >=Very Good,2. No,114.4757133
33,4. College Grad,2. Information,2. >=Very Good,1. Yes,138.2991269
19,2. HS Grad,2. Information,2. >=Very Good,2. No,54.59815003
50,4. College Grad,2. Information,2. >=Very Good,1. Yes,94.07271475
22,3. Some College,1. Industrial,1. <=Good,2. No,80.43020795
40,3. Some College,2. Information,2. >=Very Good,1. Yes,89.24288466
45,3. Some College,1. Industrial,2. >=Very Good,2. No,117.1468169
36,5. Advanced Degree,1. Industrial,2. >=Very Good,2. No,127.1157438
37,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,81.28325328
24,2. HS Grad,1. Industrial,1. <=Good,2. No,52.40706405
66,1. < HS Grad,2. Information,2. >=Very Good,1. Yes,99.6894637
35,1. < HS Grad,1. Industrial,1. <=Good,2. No,63.188861
33,4. College Grad,2. Information,2. >=Very Good,1. Yes,196.1252726
44,3. Some College,1. Industrial,1. <=Good,1. Yes,101.8243521
48,3. Some College,2. Information,2. >=Very Good,1. Yes,107.9039239
47,2. HS Grad,2. Information,2. >=Very Good,2. No,51.23965492
41,3. Some College,1. Industrial,2. >=Very Good,1. Yes,99.6894637
55,4. College Grad,2. Information,2. >=Very Good,1. Yes,63.188861
74,5. Advanced Degree,2. Information,2. >=Very Good,2. No,148.4131591
33,4. College Grad,2. Information,2. >=Very Good,1. Yes,99.6894637
62,5. Advanced Degree,2. Information,1. <=Good,1. Yes,130.9821774
56,2. HS Grad,1. Industrial,1. <=Good,1. Yes,101.8243521
29,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,99.6894637
56,1. < HS Grad,2. Information,1. <=Good,2. No,79.85490031
47,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,160.6424754
45,2. HS Grad,2. Information,2. >=Very Good,1. Yes,134.7053751
44,4. College Grad,2. Information,2. >=Very Good,1. Yes,160.6424754
25,4. College Grad,2. Information,2. >=Very Good,1. Yes,91.69922611
45,3. Some College,2. Information,2. >=Very Good,2. No,75.35567932
40,4. College Grad,2. Information,2. >=Very Good,1. Yes,136.1577108
56,2. HS Grad,2. Information,1. <=Good,1. Yes,134.7053751
56,3. Some College,2. Information,2. >=Very Good,1. Yes,81.98531783
47,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,176.9896505
39,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,118.8860804
38,3. Some College,2. Information,2. >=Very Good,1. Yes,121.2627457
48,2. HS Grad,1. Industrial,2. >=Very Good,2. No,94.07271475
44,2. HS Grad,1. Industrial,1. <=Good,2. No,99.6894637
42,5. Advanced Degree,2. Information,2. >=Very Good,2. No,123.9085676
55,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,118.8843593
61,5. Advanced Degree,1. Industrial,2. >=Very Good,2. No,82.6796373
39,2. HS Grad,1. Industrial,1. <=Good,1. Yes,81.28325328
30,3. Some College,1. Industrial,2. >=Very Good,2. No,104.9215065
49,2. HS Grad,1. Industrial,1. <=Good,1. Yes,99.6894637
33,4. College Grad,2. Information,2. >=Very Good,1. Yes,136.1577108
31,1. < HS Grad,1. Industrial,1. <=Good,2. No,81.28325328
35,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,68.50868966
55,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,81.28325328
36,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,114.4757133
37,2. HS Grad,1. Industrial,2. >=Very Good,2. No,118.0197533
33,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,99.6894637
48,2. HS Grad,1. Industrial,1. <=Good,1. Yes,118.8843593
47,3. Some College,1. Industrial,2. >=Very Good,1. Yes,118.8843593
60,3. Some College,2. Information,1. <=Good,1. Yes,123.0896998
28,4. College Grad,2. Information,1. <=Good,1. Yes,109.8339856
28,3. Some College,2. Information,2. >=Very Good,1. Yes,102.8702469
48,4. College Grad,2. Information,2. >=Very Good,1. Yes,163.515864
29,5. Advanced Degree,2. Information,2. >=Very Good,2. No,117.1468169
40,2. HS Grad,1. Industrial,1. <=Good,1. Yes,92.30006143
32,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,100.0134869
33,2. HS Grad,2. Information,2. >=Very Good,2. No,55.06972842
40,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,101.8243521
42,3. Some College,1. Industrial,2. >=Very Good,1. Yes,148.4131591
36,2. HS Grad,1. Industrial,2. >=Very Good,2. No,115.3750386
39,1. < HS Grad,1. Industrial,1. <=Good,2. No,73.77574327
44,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,267.9010869
43,2. HS Grad,1. Industrial,2. >=Very Good,2. No,129.4536446
44,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,96.37065283
29,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,87.98103279
49,3. Some College,2. Information,2. >=Very Good,1. Yes,104.9215065
47,3. Some College,2. Information,2. >=Very Good,1. Yes,130.9821774
46,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,190.5476786
41,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,118.0197533
52,2. HS Grad,2. Information,1. <=Good,2. No,79.85490031
43,2. HS Grad,2. Information,2. >=Very Good,1. Yes,72.4793163
38,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,148.4131591
42,3. Some College,2. Information,2. >=Very Good,1. Yes,74.4446382
56,4. College Grad,1. Industrial,2. >=Very Good,2. No,118.8843593
39,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,128.6804882
29,3. Some College,2. Information,2. >=Very Good,1. Yes,87.98103279
33,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,267.9010869
33,2. HS Grad,1. Industrial,2. >=Very Good,2. No,104.9215065
41,2. HS Grad,2. Information,2. >=Very Good,2. No,92.89584479
44,1. < HS Grad,2. Information,1. <=Good,1. Yes,70.47601965
45,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,200.5432623
58,2. HS Grad,2. Information,2. >=Very Good,1. Yes,102.8702469
29,3. Some College,1. Industrial,2. >=Very Good,1. Yes,102.8702469
42,2. HS Grad,1. Industrial,2. >=Very Good,2. No,65.11085372
68,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,109.8339856
47,5. Advanced Degree,2. Information,1. <=Good,1. Yes,127.1157438
30,4. College Grad,2. Information,2. >=Very Good,2. No,94.07271475
39,1. < HS Grad,2. Information,2. >=Very Good,2. No,67.86252341
42,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,125.5254984
49,3. Some College,1. Industrial,2. >=Very Good,1. Yes,165.2087738
36,2. HS Grad,1. Industrial,1. <=Good,1. Yes,81.28325328
44,2. HS Grad,2. Information,1. <=Good,1. Yes,112.6488963
54,2. HS Grad,2. Information,2. >=Very Good,1. Yes,76.89360252
42,2. HS Grad,1. Industrial,1. <=Good,1. Yes,75.04315402
39,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,128.6804882
30,2. HS Grad,2. Information,2. >=Very Good,2. No,59.09706408
33,2. HS Grad,2. Information,2. >=Very Good,2. No,63.7733912
28,2. HS Grad,2. Information,2. >=Very Good,1. Yes,84.04595765
38,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,93.93718158
30,3. Some College,1. Industrial,2. >=Very Good,1. Yes,82.6796373
25,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,118.8843593
52,2. HS Grad,2. Information,2. >=Very Good,1. Yes,81.28325328
26,2. HS Grad,1. Industrial,1. <=Good,2. No,66.96164432
54,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,166.3249412
62,4. College Grad,2. Information,2. >=Very Good,2. No,99.6894637
57,5. Advanced Degree,2. Information,1. <=Good,1. Yes,141.7751723
32,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,143.1349408
60,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,35.03342132
40,4. College Grad,2. Information,2. >=Very Good,1. Yes,109.8339856
49,2. HS Grad,1. Industrial,2. >=Very Good,2. No,111.0144055
54,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,132.4878211
48,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,148.4131591
35,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,73.77574327
46,2. HS Grad,2. Information,1. <=Good,1. Yes,143.6997101
42,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,99.6894637
58,4. College Grad,2. Information,2. >=Very Good,1. Yes,272.2947832
30,4. College Grad,2. Information,2. >=Very Good,1. Yes,200.5432623
27,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,85.38658902
55,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,109.8339856
50,2. HS Grad,1. Industrial,2. >=Very Good,2. No,61.05242105
55,2. HS Grad,1. Industrial,1. <=Good,1. Yes,118.8843593
40,3. Some College,1. Industrial,2. >=Very Good,1. Yes,145.8051634
32,2. HS Grad,2. Information,1. <=Good,2. No,112.6488963
27,2. HS Grad,1. Industrial,1. <=Good,1. Yes,106.9218141
49,3. Some College,2. Information,2. >=Very Good,1. Yes,106.9218141
50,4. College Grad,2. Information,1. <=Good,1. Yes,127.1157438
50,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,87.98103279
44,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,144.4780877
57,5. Advanced Degree,2. Information,1. <=Good,1. Yes,160.409702
72,5. Advanced Degree,1. Industrial,1. <=Good,2. No,87.98103279
23,1. < HS Grad,1. Industrial,1. <=Good,2. No,65.11085372
31,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,176.9896505
36,2. HS Grad,2. Information,2. >=Very Good,2. No,54.59815003
63,3. Some College,1. Industrial,2. >=Very Good,1. Yes,109.8339856
48,1. < HS Grad,1. Industrial,1. <=Good,2. No,81.69842172
46,4. College Grad,1. Industrial,2. >=Very Good,2. No,114.4757133
55,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,142.6344728
44,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,160.6424754
44,3. Some College,1. Industrial,2. >=Very Good,1. Yes,94.07271475
32,1. < HS Grad,1. Industrial,1. <=Good,2. No,54.59815003
60,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,73.77574327
42,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,160.6424754
48,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,148.4131591
36,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,87.98230643
31,2. HS Grad,1. Industrial,1. <=Good,1. Yes,101.8243521
54,2. HS Grad,2. Information,2. >=Very Good,1. Yes,111.7208494
29,3. Some College,1. Industrial,2. >=Very Good,1. Yes,106.9218141
46,3. Some College,1. Industrial,2. >=Very Good,2. No,126.3238807
35,2. HS Grad,1. Industrial,2. >=Very Good,2. No,109.8339856
50,1. < HS Grad,2. Information,1. <=Good,1. Yes,92.89584479
25,3. Some College,1. Industrial,2. >=Very Good,1. Yes,54.59815003
33,3. Some College,2. Information,1. <=Good,2. No,96.37065283
34,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,114.4757133
51,2. HS Grad,1. Industrial,1. <=Good,1. Yes,94.07271475
33,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,95.23071257
59,3. Some College,2. Information,2. >=Very Good,1. Yes,139.0034081
62,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,81.28325328
28,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,94.07271475
40,3. Some College,2. Information,1. <=Good,1. Yes,87.98103279
52,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,138.2991269
29,2. HS Grad,1. Industrial,2. >=Very Good,2. No,89.49247952
34,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,92.89584479
25,2. HS Grad,1. Industrial,2. >=Very Good,2. No,54.59815003
66,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,94.07271475
43,2. HS Grad,2. Information,1. <=Good,1. Yes,68.74808773
45,2. HS Grad,2. Information,2. >=Very Good,2. No,92.89584479
35,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,114.4757133
43,2. HS Grad,2. Information,2. >=Very Good,1. Yes,109.8339856
49,4. College Grad,2. Information,2. >=Very Good,1. Yes,109.8339856
60,1. < HS Grad,2. Information,1. <=Good,1. Yes,77.04520085
46,2. HS Grad,2. Information,2. >=Very Good,2. No,94.07271475
55,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,101.8243521
32,3. Some College,1. Industrial,2. >=Very Good,1. Yes,118.8843593
53,2. HS Grad,1. Industrial,2. >=Very Good,2. No,133.2323508
57,4. College Grad,2. Information,2. >=Very Good,1. Yes,157.1035043
51,5. Advanced Degree,2. Information,1. <=Good,1. Yes,281.7459706
59,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,182.020621
45,3. Some College,2. Information,1. <=Good,1. Yes,119.0992348
56,2. HS Grad,1. Industrial,1. <=Good,1. Yes,71.68674367
30,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,85.38394038
21,2. HS Grad,1. Industrial,2. >=Very Good,2. No,72.15045568
60,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,138.2991269
60,2. HS Grad,2. Information,2. >=Very Good,1. Yes,101.8243521
48,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,109.8339856
39,4. College Grad,2. Information,2. >=Very Good,2. No,87.98103279
32,3. Some College,2. Information,2. >=Very Good,1. Yes,115.3750386
51,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,191.5736835
47,4. College Grad,1. Industrial,2. >=Very Good,2. No,86.69515483
44,2. HS Grad,2. Information,1. <=Good,1. Yes,75.8522372
46,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,166.3249412
28,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,56.90553914
24,4. College Grad,2. Information,2. >=Very Good,2. No,99.6894637
37,2. HS Grad,1. Industrial,2. >=Very Good,2. No,92.89584479
31,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,99.6894637
72,2. HS Grad,2. Information,1. <=Good,1. Yes,92.89584479
50,3. Some College,1. Industrial,1. <=Good,1. Yes,101.8243521
36,3. Some College,1. Industrial,2. >=Very Good,1. Yes,145.1436012
27,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,76.89360252
27,3. Some College,1. Industrial,2. >=Very Good,1. Yes,90.48191336
41,4. College Grad,1. Industrial,2. >=Very Good,2. No,127.1157438
20,3. Some College,2. Information,2. >=Very Good,2. No,82.6796373
49,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,99.6894637
25,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,64.15923257
41,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,89.49247952
53,2. HS Grad,1. Industrial,1. <=Good,1. Yes,87.98103279
45,4. College Grad,1. Industrial,1. <=Good,2. No,127.1157438
32,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,66.96164432
47,3. Some College,2. Information,2. >=Very Good,1. Yes,148.4131591
26,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,123.0896998
31,3. Some College,2. Information,2. >=Very Good,1. Yes,133.2323508
32,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,118.8843593
50,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,120.1661196
46,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,115.3750386
47,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,112.6488963
55,3. Some College,1. Industrial,1. <=Good,1. Yes,118.8843593
49,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,148.4131591
25,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,61.18752643
60,2. HS Grad,2. Information,2. >=Very Good,2. No,95.68881191
62,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,89.24288466
63,2. HS Grad,2. Information,2. >=Very Good,1. Yes,127.901233
31,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,128.6804882
29,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,109.8339856
51,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,114.4757133
28,2. HS Grad,1. Industrial,2. >=Very Good,2. No,76.12969964
36,3. Some College,2. Information,1. <=Good,1. Yes,123.0896998
28,3. Some College,2. Information,2. >=Very Good,1. Yes,99.6894637
38,4. College Grad,2. Information,2. >=Very Good,1. Yes,102.8702469
35,3. Some College,1. Industrial,2. >=Very Good,1. Yes,96.37065283
46,3. Some College,1. Industrial,2. >=Very Good,1. Yes,117.1468169
37,3. Some College,2. Information,2. >=Very Good,2. No,90.48191336
41,3. Some College,2. Information,2. >=Very Good,1. Yes,104.9215065
59,3. Some College,1. Industrial,1. <=Good,2. No,73.77574327
51,3. Some College,1. Industrial,1. <=Good,2. No,107.9039239
26,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,99.6894637
34,3. Some College,1. Industrial,2. >=Very Good,1. Yes,60.15412466
32,2. HS Grad,2. Information,2. >=Very Good,1. Yes,123.0896998
23,3. Some College,1. Industrial,2. >=Very Good,1. Yes,81.28325328
50,2. HS Grad,2. Information,2. >=Very Good,1. Yes,143.1349408
25,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,69.09818381
43,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,78.98167452
36,3. Some College,1. Industrial,2. >=Very Good,1. Yes,128.6804882
50,2. HS Grad,2. Information,1. <=Good,2. No,54.59815003
34,2. HS Grad,2. Information,2. >=Very Good,1. Yes,134.7053751
34,2. HS Grad,1. Industrial,2. >=Very Good,2. No,104.9215065
55,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,277.6014175
39,2. HS Grad,1. Industrial,1. <=Good,2. No,78.21457569
40,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,82.6796373
32,3. Some College,2. Information,1. <=Good,1. Yes,117.1468169
63,2. HS Grad,2. Information,1. <=Good,1. Yes,118.8843593
38,2. HS Grad,1. Industrial,2. >=Very Good,2. No,109.8339856
67,2. HS Grad,1. Industrial,1. <=Good,2. No,59.09706408
39,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,116.2653241
31,2. HS Grad,1. Industrial,1. <=Good,2. No,61.18752643
41,3. Some College,2. Information,2. >=Very Good,1. Yes,114.4757133
47,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,78.3924668
61,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,122.2636739
61,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,148.4131591
21,2. HS Grad,1. Industrial,2. >=Very Good,2. No,54.59815003
22,4. College Grad,1. Industrial,1. <=Good,2. No,66.04469423
53,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,126.9578857
47,4. College Grad,1. Industrial,2. >=Very Good,2. No,81.28325328
36,3. Some College,1. Industrial,2. >=Very Good,1. Yes,127.901233
36,2. HS Grad,1. Industrial,2. >=Very Good,2. No,87.98103279
42,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,123.0896998
54,3. Some College,1. Industrial,2. >=Very Good,2. No,104.9215065
27,3. Some College,1. Industrial,1. <=Good,1. Yes,87.98103279
36,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,131.7378012
35,2. HS Grad,2. Information,1. <=Good,2. No,73.77574327
60,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,104.9215065
42,2. HS Grad,1. Industrial,1. <=Good,1. Yes,91.60261566
41,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,123.0896998
35,3. Some College,1. Industrial,1. <=Good,1. Yes,131.6526987
34,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,309.5717713
22,2. HS Grad,1. Industrial,1. <=Good,1. Yes,70.66104767
47,2. HS Grad,1. Industrial,2. >=Very Good,2. No,84.85204409
59,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,102.8702469
29,3. Some College,2. Information,2. >=Very Good,1. Yes,103.9024706
32,1. < HS Grad,2. Information,2. >=Very Good,1. Yes,94.07271475
49,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,128.6804882
30,3. Some College,2. Information,2. >=Very Good,1. Yes,106.3268649
33,2. HS Grad,1. Industrial,1. <=Good,1. Yes,99.25528683
51,2. HS Grad,1. Industrial,1. <=Good,1. Yes,133.2323508
37,2. HS Grad,1. Industrial,2. >=Very Good,2. No,78.3924668
46,3. Some College,1. Industrial,2. >=Very Good,1. Yes,130.9821774
63,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,109.8339856
41,2. HS Grad,1. Industrial,2. >=Very Good,2. No,96.37065283
40,2. HS Grad,1. Industrial,1. <=Good,1. Yes,109.8339856
46,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,281.7459706
45,2. HS Grad,2. Information,2. >=Very Good,1. Yes,94.07271475
48,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,200.5432623
28,3. Some College,2. Information,2. >=Very Good,2. No,87.98103279
65,2. HS Grad,1. Industrial,1. <=Good,2. No,87.98103279
50,2. HS Grad,1. Industrial,2. >=Very Good,2. No,97.49329405
53,2. HS Grad,1. Industrial,2. >=Very Good,2. No,107.9039239
48,2. HS Grad,1. Industrial,2. >=Very Good,2. No,95.68881191
30,3. Some College,2. Information,2. >=Very Good,2. No,109.8339856
