File:  Cars Data,,,,,,,,,,,,,,
Description:  Basic data on cars produced in 2018,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Make,Model,DriveTrain,Origin,Type,Cylinders,Engine Size (L),Horsepower,Invoice,Length (IN),MPG (City),MPG (Highway),MSRP,Weight (LBS),Wheelbase (IN)
Lexus,GX 470,All,Asia,SUV,8,4.7,235,"$39,838 ",188,15,19,"$45,700 ",4740,110
Lexus,IS 300 4dr auto,Rear,Asia,Sedan,6,3,215,"$28,611 ",177,18,24,"$32,415 ",3285,105
Lexus,IS 300 4dr manual,Rear,Asia,Sedan,6,3,215,"$27,404 ",177,18,25,"$31,045 ",3255,105
Lexus,IS 300 SportCross,Rear,Asia,Wagon,6,3,215,"$28,647 ",177,18,24,"$32,455 ",3410,105
Lexus,LS 430 4dr,Rear,Asia,Sedan,8,4.3,290,"$48,583 ",197,18,25,"$55,750 ",3990,115
Lexus,LX 470,All,Asia,SUV,8,4.7,235,"$56,455 ",193,13,17,"$64,800 ",5590,112
Lexus,RX 330,All,Asia,SUV,6,3.3,230,"$34,576 ",186,18,24,"$39,195 ",4065,107
Lexus,SC 430 convertible 2dr,Rear,Asia,Sports,8,4.3,300,"$55,063 ",178,18,23,"$63,200 ",3840,103
Lincoln,Aviator Ultimate,Front,USA,SUV,8,4.6,302,"$39,443 ",193,13,18,"$42,915 ",4834,114
Lincoln,LS V6 Luxury 4dr,Rear,USA,Sedan,6,3,232,"$29,969 ",194,20,26,"$32,495 ",3681,115
Lincoln,LS V6 Premium 4dr,Rear,USA,Sedan,6,3,232,"$33,929 ",194,20,26,"$36,895 ",3681,115
Lincoln,LS V8 Sport 4dr,Rear,USA,Sedan,8,3.9,280,"$36,809 ",194,17,24,"$40,095 ",3768,115
Lincoln,LS V8 Ultimate 4dr,Rear,USA,Sedan,8,3.9,280,"$39,869 ",194,17,24,"$43,495 ",3768,115
Lincoln,Navigator Luxury,All,USA,SUV,8,5.4,300,"$46,360 ",206,13,18,"$52,775 ",5969,119
Lincoln,Town Car Signature 4dr,Rear,USA,Sedan,8,4.6,239,"$38,418 ",215,17,25,"$41,815 ",4369,118
Lincoln,Town Car Ultimate 4dr,Rear,USA,Sedan,8,4.6,239,"$41,217 ",215,17,25,"$44,925 ",4369,118
Lincoln,Town Car Ultimate L 4dr,Rear,USA,Sedan,8,4.6,239,"$46,208 ",221,17,25,"$50,470 ",4474,124
Mazda,B2300 SX Regular Cab,Rear,Asia,Truck,4,2.3,143,"$14,070 ",188,24,29,"$14,840 ",2960,112
Mazda,B4000 SE Cab Plus,All,Asia,Truck,6,4,207,"$20,482 ",203,15,19,"$22,350 ",3571,126
Mazda,Mazda3 i 4dr,Front,Asia,Sedan,4,2,148,"$14,525 ",178,26,34,"$15,500 ",2696,104
Mazda,Mazda3 s 4dr,Front,Asia,Sedan,4,2.3,160,"$15,922 ",179,25,31,"$17,200 ",2762,104
Mazda,Mazda6 i 4dr,Front,Asia,Sedan,4,2.3,160,"$17,817 ",187,24,32,"$19,270 ",3042,105
Mazda,MPV ES,Front,Asia,Sedan,6,3,200,"$26,600 ",188,18,25,"$28,750 ",3812,112
Mazda,MX-5 Miata convertible 2dr,Rear,Asia,Sports,4,1.8,142,"$20,701 ",156,23,28,"$22,388 ",2387,89
Mazda,MX-5 Miata LS convertible 2dr,Rear,Asia,Sports,4,1.8,142,"$23,285 ",156,23,28,"$25,193 ",2387,89
Mazda,RX-8 4dr automatic,Rear,Asia,Sports,,1.3,197,"$23,794 ",174,18,25,"$25,700 ",3053,106
Mazda,RX-8 4dr manual,Rear,Asia,Sports,,1.3,238,"$25,179 ",174,18,24,"$27,200 ",3029,106
Mazda,Tribute DX 2.0,All,Asia,SUV,4,2,130,"$19,742 ",173,22,25,"$21,087 ",3091,103
Mercedes-Benz,C230 Sport 2dr,Rear,Europe,Sedan,4,1.8,189,"$24,249 ",178,22,30,"$26,060 ",3250,107
Mercedes-Benz,C240,Rear,Europe,Wagon,6,2.6,168,"$31,466 ",179,19,25,"$33,780 ",3470,107
Mercedes-Benz,C240 4dr,All,Europe,Sedan,6,2.6,168,"$31,187 ",178,19,25,"$33,480 ",3360,107
Mercedes-Benz,C240 4dr,Rear,Europe,Sedan,6,2.6,168,"$30,071 ",178,20,25,"$32,280 ",3360,107
Mercedes-Benz,C32 AMG 4dr,Rear,Europe,Sedan,6,3.2,349,"$48,522 ",178,16,21,"$52,120 ",3540,107
Mercedes-Benz,C320 4dr,All,Europe,Sedan,6,3.2,215,"$36,162 ",178,19,27,"$38,830 ",3450,107
Mercedes-Benz,C320 4dr,Rear,Europe,Sedan,6,3.2,215,"$35,046 ",178,20,26,"$37,630 ",3450,107
Mercedes-Benz,C320 Sport 2dr,Rear,Europe,Sedan,6,3.2,215,"$26,435 ",178,19,26,"$28,370 ",3430,107
Mercedes-Benz,C320 Sport 4dr,Rear,Europe,Sedan,6,3.2,215,"$33,456 ",178,19,26,"$35,920 ",3430,107
Mercedes-Benz,CL500 2dr,Rear,Europe,Sedan,8,5,302,"$88,324 ",196,16,24,"$94,820 ",4085,114
Mercedes-Benz,CL600 2dr,Rear,Europe,Sedan,12,5.5,493,"$119,600 ",196,13,19,"$128,420 ",4473,114
Mercedes-Benz,CLK320 coupe 2dr (convertible),Rear,Europe,Sedan,6,3.2,215,"$41,966 ",183,20,26,"$45,707 ",3770,107
Mercedes-Benz,CLK500 coupe 2dr (convertible),Rear,Europe,Sedan,8,5,302,"$49,104 ",183,17,22,"$52,800 ",3585,107
Mercedes-Benz,E320,Rear,Europe,Wagon,6,3.2,221,"$47,174 ",190,19,27,"$50,670 ",3966,112
Mercedes-Benz,E320 4dr,Rear,Europe,Sedan,6,3.2,221,"$44,849 ",190,19,27,"$48,170 ",3635,112
Mercedes-Benz,E500,All,Europe,Wagon,8,5,302,"$56,474 ",190,16,24,"$60,670 ",4230,112
Mercedes-Benz,E500 4dr,Rear,Europe,Sedan,8,5,302,"$53,382 ",190,16,20,"$57,270 ",3815,112
Mercedes-Benz,G500,All,Europe,SUV,8,5,292,"$71,540 ",186,13,14,"$76,870 ",5423,112
Mercedes-Benz,ML500,All,Europe,SUV,8,5,288,"$43,268 ",183,14,17,"$46,470 ",4874,111
Mercedes-Benz,S430 4dr,Rear,Europe,Sedan,8,4.3,275,"$69,168 ",203,18,26,"$74,320 ",4160,122
Mercedes-Benz,S500 4dr,All,Europe,Sedan,8,5,302,"$80,939 ",203,16,24,"$86,970 ",4390,122
Mercedes-Benz,SL500 convertible 2dr,Rear,Europe,Sports,8,5,302,"$84,325 ",179,16,23,"$90,520 ",4065,101
Mercedes-Benz,SL55 AMG 2dr,Rear,Europe,Sports,8,5.5,493,"$113,388 ",179,14,21,"$121,770 ",4235,101
Mercedes-Benz,SL600 convertible 2dr,Rear,Europe,Sports,12,5.5,493,"$117,854 ",179,13,19,"$126,670 ",4429,101
Mercedes-Benz,SLK230 convertible 2dr,Rear,Europe,Sports,4,2.3,192,"$37,548 ",158,21,29,"$40,320 ",3055,95
Mercedes-Benz,SLK32 AMG 2dr,Rear,Europe,Sports,6,3.2,349,"$52,289 ",158,17,22,"$56,170 ",3220,95
Mercury,Grand Marquis GS 4dr,Rear,USA,Sedan,8,4.6,224,"$23,217 ",212,17,25,"$24,695 ",4052,115
Mercury,Grand Marquis LS Premium 4dr,Rear,USA,Sedan,8,4.6,224,"$27,148 ",212,17,25,"$29,595 ",4052,115
Mercury,Grand Marquis LS Ultimate 4dr,Rear,USA,Sedan,8,4.6,224,"$28,318 ",212,17,25,"$30,895 ",4052,115
Mercury,Marauder 4dr,Rear,USA,Sedan,8,4.6,302,"$31,558 ",212,17,23,"$34,495 ",4195,115
Mercury,Monterey Luxury,Front,USA,Sedan,6,4.2,201,"$30,846 ",202,16,23,"$33,995 ",4340,121
Mercury,Mountaineer,Front,USA,SUV,6,4,210,"$27,317 ",190,16,21,"$29,995 ",4374,114
Mercury,Sable GS,Front,USA,Wagon,6,3,155,"$20,748 ",198,19,26,"$22,595 ",3488,109
Mercury,Sable GS 4dr,Front,USA,Sedan,6,3,155,"$19,848 ",200,20,27,"$21,595 ",3308,109
Mercury,Sable LS Premium 4dr,Front,USA,Sedan,6,3,201,"$21,918 ",200,19,26,"$23,895 ",3315,109
MINI,Cooper,Front,Europe,Sedan,4,1.6,115,"$15,437 ",143,28,37,"$16,999 ",2524,97
MINI,Cooper S,Front,Europe,Sedan,4,1.6,163,"$18,137 ",144,25,34,"$19,999 ",2678,97
Mitsubishi,Diamante LS 4dr,Front,Asia,Sedan,6,3.5,205,"$27,250 ",194,18,25,"$29,282 ",3549,107
Mitsubishi,Eclipse GTS 2dr,Front,Asia,Sports,6,3,210,"$23,456 ",177,21,28,"$25,092 ",3241,101
Mitsubishi,Eclipse Spyder GT convertible 2dr,Front,Asia,Sports,6,3,210,"$25,218 ",177,21,28,"$26,992 ",3296,101
Mitsubishi,Endeavor XLS,All,Asia,SUV,6,3.8,215,"$28,330 ",190,17,21,"$30,492 ",4134,109
Mitsubishi,Galant ES 2.4L 4dr,Front,Asia,Sedan,4,2.4,160,"$17,957 ",191,23,30,"$19,312 ",3351,108
Mitsubishi,Galant GTS 4dr,Front,Asia,Sedan,6,3.8,230,"$23,883 ",191,18,26,"$25,700 ",3649,108
Mitsubishi,Lancer ES 4dr,Front,Asia,Sedan,4,2,120,"$13,751 ",181,25,31,"$14,622 ",2656,102
Mitsubishi,Lancer Evolution 4dr,Front,Asia,Sports,4,2,271,"$27,466 ",179,18,26,"$29,562 ",3263,103
Mitsubishi,Lancer LS 4dr,Front,Asia,Sedan,4,2,120,"$15,718 ",181,25,31,"$16,722 ",2795,102
Mitsubishi,Lancer OZ Rally 4dr auto,Front,Asia,Sedan,4,2,120,"$16,196 ",181,25,31,"$17,232 ",2744,102
Mitsubishi,Lancer Sportback LS,Front,Asia,Wagon,4,2.4,160,"$16,295 ",181,25,31,"$17,495 ",3020,102
Mitsubishi,Montero XLS,All,Asia,SUV,6,3.8,215,"$30,763 ",190,15,19,"$33,112 ",4718,110
Mitsubishi,Outlander LS,Front,Asia,SUV,4,2.4,160,"$17,569 ",179,21,27,"$18,892 ",3240,103
Nissan,350Z coupe 2dr,Rear,Asia,Sports,6,3.5,287,"$25,203 ",169,20,26,"$26,910 ",3188,104
Nissan,350Z Enthusiast convertible 2dr,Rear,Asia,Sports,6,3.5,287,"$31,845 ",169,20,26,"$34,390 ",3428,104
Nissan,Altima S 4dr,Front,Asia,Sedan,4,2.5,175,"$18,030 ",192,21,26,"$19,240 ",3039,110
Nissan,Altima SE 4dr,Front,Asia,Sedan,6,3.5,245,"$21,580 ",192,21,26,"$23,290 ",3197,110
Nissan,Frontier King Cab XE V6,All,Asia,Truck,6,3.3,180,"$18,253 ",191,17,20,"$19,479 ",3932,116
Nissan,Maxima SE 4dr,Front,Asia,Sedan,6,3.5,265,"$25,182 ",194,20,28,"$27,490 ",3473,111
Nissan,Maxima SL 4dr,Front,Asia,Sedan,6,3.5,265,"$26,966 ",194,20,28,"$29,440 ",3476,111
Nissan,Murano SL,Rear,Asia,Wagon,6,3.5,245,"$27,300 ",188,20,25,"$28,739 ",3801,111
Nissan,Pathfinder Armada SE,Front,Asia,SUV,8,5.6,305,"$30,815 ",207,13,19,"$33,840 ",5013,123
Nissan,Pathfinder SE,Front,Asia,SUV,6,3.5,240,"$25,972 ",183,16,21,"$27,339 ",3871,106
Nissan,Quest S,Front,Asia,Sedan,6,3.5,240,"$22,958 ",204,19,26,"$24,780 ",4012,124
Nissan,Quest SE,Front,Asia,Sedan,6,3.5,240,"$30,019 ",204,18,25,"$32,780 ",4175,124
Nissan,Sentra 1.8 4dr,Front,Asia,Sedan,4,1.8,126,"$12,205 ",178,28,35,"$12,740 ",2513,100
Nissan,Sentra 1.8 S 4dr,Front,Asia,Sedan,4,1.8,126,"$13,747 ",178,28,35,"$14,740 ",2581,100
Nissan,Sentra SE-R 4dr,Front,Asia,Sedan,4,2.5,165,"$16,444 ",178,23,28,"$17,640 ",2761,100
Nissan,Titan King Cab XE,All,Asia,Truck,8,5.6,305,"$24,926 ",224,14,18,"$26,650 ",5287,140
Nissan,Xterra XE V6,Front,Asia,SUV,6,3.3,180,"$19,512 ",178,17,20,"$20,939 ",3760,104
Oldsmobile,Alero GLS 2dr,Front,USA,Sedan,6,3.4,170,"$21,485 ",187,20,29,"$23,675 ",3085,107
Oldsmobile,Alero GX 2dr,Front,USA,Sedan,4,2.2,140,"$17,642 ",187,24,32,"$18,825 ",2946,107
Oldsmobile,Silhouette GL,Front,USA,Sedan,6,3.4,185,"$26,120 ",201,19,26,"$28,790 ",3948,120
Pontiac,Aztekt,Front,USA,SUV,6,3.4,185,"$19,810 ",182,19,26,"$21,595 ",3779,108
Pontiac,Bonneville GXP 4dr,Front,USA,Sedan,8,4.6,275,"$32,997 ",203,17,20,"$35,995 ",3790,112
Pontiac,Grand Am GT 2dr,Front,USA,Sedan,6,3.4,175,"$20,595 ",186,20,29,"$22,450 ",3118,107
Pontiac,Grand Prix GT1 4dr,Front,USA,Sedan,6,3.8,200,"$20,545 ",198,20,30,"$22,395 ",3477,111
Pontiac,Grand Prix GT2 4dr,Front,USA,Sedan,6,3.8,200,"$22,284 ",198,20,30,"$24,295 ",3484,111
Pontiac,GTO 2dr,Rear,USA,Sports,8,5.7,340,"$30,710 ",190,16,20,"$33,500 ",3725,110
Pontiac,Montana,Front,USA,Sedan,6,3.4,185,"$21,644 ",187,19,26,"$23,845 ",3803,112
Pontiac,Montana EWB,All,USA,Sedan,6,3.4,185,"$28,454 ",201,18,24,"$31,370 ",4431,121
Pontiac,Sunfire 1SA 2dr,Front,USA,Sedan,4,2.2,140,"$14,375 ",182,24,33,"$15,495 ",2771,104
Pontiac,Sunfire 1SC 2dr,Front,USA,Sedan,4,2.2,140,"$16,369 ",182,24,33,"$17,735 ",2771,104
Pontiac,Vibe,Rear,USA,Wagon,4,1.8,130,"$15,973 ",172,29,36,"$17,045 ",2701,102
Porsche,911 Carrera 4S coupe 2dr (convert),All,Europe,Sports,6,3.6,315,"$72,206 ",175,17,24,"$84,165 ",3240,93
Porsche,911 Carrera convertible 2dr (coupe),Rear,Europe,Sports,6,3.6,315,"$69,229 ",175,18,26,"$79,165 ",3135,93
Porsche,911 GT2 2dr,Rear,Europe,Sports,6,3.6,477,"$173,560 ",175,17,24,"$192,465 ",3131,93
Porsche,911 Targa coupe 2dr,Rear,Europe,Sports,6,3.6,315,"$67,128 ",175,18,26,"$76,765 ",3119,93
Porsche,Boxster convertible 2dr,Rear,Europe,Sports,6,2.7,228,"$37,886 ",170,20,29,"$43,365 ",2811,95
Porsche,Boxster S convertible 2dr,Rear,Europe,Sports,6,3.2,258,"$45,766 ",170,18,26,"$52,365 ",2911,95
Porsche,Cayenne S,All,Europe,SUV,8,4.5,340,"$49,865 ",188,14,18,"$56,665 ",4950,112
Saab,9-3 Aero 4dr,Front,Europe,Sedan,4,2,210,"$31,562 ",183,20,28,"$33,360 ",3175,105
Saab,9-3 Aero convertible 2dr,Front,Europe,Sedan,4,2,210,"$40,883 ",182,21,30,"$43,175 ",3700,105
Saab,9-3 Arc convertible 2dr,Front,Europe,Sedan,4,2,210,"$38,520 ",182,21,29,"$40,670 ",3480,105
Saab,9-3 Arc Sport 4dr,Front,Europe,Sedan,4,2,210,"$29,269 ",183,20,28,"$30,860 ",3175,105
Saab,9-5 Aero,Front,Europe,Wagon,4,2.3,250,"$38,376 ",190,19,29,"$40,845 ",3620,106
Saab,9-5 Aero 4dr,Front,Europe,Sedan,4,2.3,250,"$37,721 ",190,21,29,"$39,465 ",3470,106
Saab,9-5 Arc 4dr,Front,Europe,Sedan,4,2.3,220,"$33,011 ",190,21,29,"$35,105 ",3470,106
Saturn,Ion1 4dr,Front,USA,Sedan,4,2.2,140,"$10,319 ",185,26,35,"$10,995 ",2692,103
Saturn,L300 2,Front,USA,Wagon,4,2.2,140,"$21,779 ",190,24,34,"$23,560 ",3109,107
Saturn,L300-2 4dr,Front,USA,Sedan,6,3,182,"$19,801 ",190,20,28,"$21,410 ",3197,107
Saturn,lon2 4dr,Front,USA,Sedan,4,2.2,140,"$13,393 ",185,26,35,"$14,300 ",2692,103
Saturn,lon2 quad coupe 2dr,Front,USA,Sedan,4,2.2,140,"$13,904 ",185,26,35,"$14,850 ",2751,103
Saturn,lon3 4dr,Front,USA,Sedan,4,2.2,140,"$14,811 ",185,26,35,"$15,825 ",2692,103
Saturn,lon3 quad coupe 2dr,Front,USA,Sedan,4,2.2,140,"$15,299 ",185,26,35,"$16,350 ",2751,103
Saturn,VUE,All,USA,SUV,4,2.2,143,"$19,238 ",181,21,26,"$20,585 ",3381,107
Scion,xA 4dr hatch,Front,Asia,Sedan,4,1.5,108,"$12,340 ",154,32,38,"$12,965 ",2340,93
Scion,xB,Front,Asia,Wagon,4,1.5,108,"$13,480 ",155,31,35,"$14,165 ",2425,98
Subaru,Baja,All,Asia,Truck,4,2.5,165,"$22,304 ",193,21,28,"$24,520 ",3485,104
Subaru,Forester X,All,Asia,Wagon,4,2.5,165,"$19,646 ",175,21,28,"$21,445 ",3090,99
Subaru,Impreza 2.5 RS 4dr,All,Asia,Sedan,4,2.5,165,"$18,399 ",174,22,28,"$19,945 ",2965,99
Subaru,Impreza WRX 4dr,All,Asia,Sports,4,2,227,"$23,022 ",174,20,27,"$25,045 ",3085,99
Subaru,Impreza WRX STi 4dr,All,Asia,Sports,4,2.5,300,"$29,130 ",174,18,24,"$31,545 ",3263,100
Subaru,Legacy GT 4dr,All,Asia,Sedan,4,2.5,165,"$23,336 ",184,21,28,"$25,645 ",3395,104
Subaru,Legacy L 4dr,All,Asia,Sedan,4,2.5,165,"$18,713 ",184,21,28,"$20,445 ",3285,104
Subaru,Outback,All,Asia,Wagon,4,2.5,165,"$21,773 ",187,21,28,"$23,895 ",3430,104
Subaru,Outback H-6 VDC 4dr,All,Asia,Sedan,6,3,212,"$28,603 ",184,19,26,"$31,545 ",3630,104
Subaru,Outback H6 4dr,All,Asia,Sedan,6,3,212,"$26,660 ",184,19,26,"$29,345 ",3610,104
Subaru,Outback Limited Sedan 4dr,All,Asia,Sedan,4,2.5,165,"$24,687 ",184,20,27,"$27,145 ",3495,104
Suzuki,Aeno S 4dr,Front,Asia,Sedan,4,2.3,155,"$12,719 ",171,25,31,"$12,884 ",2676,98
Suzuki,Aerio LX 4dr,Front,Asia,Sedan,4,2.3,155,"$14,317 ",171,25,31,"$14,500 ",2676,98
Suzuki,Aerio SX,All,Asia,Wagon,4,2.3,155,"$16,291 ",167,24,29,"$16,497 ",2932,98
Suzuki,Forenza EX 4dr,Front,Asia,Sedan,4,2,119,"$15,378 ",177,22,30,"$15,568 ",2756,102
Suzuki,Forenza S 4dr,Front,Asia,Sedan,4,2,119,"$12,116 ",177,24,31,"$12,269 ",2701,102
Suzuki,Verona LX 4dr,Front,Asia,Sedan,6,2.5,155,"$17,053 ",188,20,27,"$17,262 ",3380,106
Suzuki,Vitara LX,All,Asia,SUV,6,2.5,165,"$16,949 ",163,19,22,"$17,163 ",3020,98
Suzuki,XL-7 EX,Front,Asia,SUV,6,2.7,185,"$22,307 ",187,18,22,"$23,699 ",3682,110
Toyota,4Runner SR5 V6,Front,Asia,SUV,6,4,245,"$24,801 ",189,18,21,"$27,710 ",4035,110
Toyota,Avalon XL 4dr,Front,Asia,Sedan,6,3,210,"$23,693 ",192,21,29,"$26,560 ",3417,107
Toyota,Avalon XLS 4dr,Front,Asia,Sedan,6,3,210,"$27,271 ",192,21,29,"$30,920 ",3439,107
Toyota,Camry LE 4dr,Front,Asia,Sedan,4,2.4,157,"$17,558 ",189,24,33,"$19,560 ",3086,107
Toyota,Camry LE V6 4dr,Front,Asia,Sedan,6,3,210,"$20,325 ",189,21,29,"$22,775 ",3296,107
Toyota,Camry Solara SE 2dr,Front,Asia,Sedan,4,2.4,157,"$17,722 ",193,24,33,"$19,635 ",3175,107
Toyota,Camry Solara SE V6 2dr,Front,Asia,Sedan,6,3.3,225,"$19,819 ",193,20,29,"$21,965 ",3417,107
Toyota,Camry Solara SLE V6 2dr,Front,Asia,Sedan,6,3.3,225,"$23,908 ",193,20,29,"$26,510 ",3439,107
Toyota,Camry XLE V6 4dr,Front,Asia,Sedan,6,3,210,"$23,125 ",189,21,29,"$25,920 ",3362,107
Toyota,Celica GT-S 2dr,Front,Asia,Sports,4,1.8,180,"$20,363 ",171,24,33,"$22,570 ",2500,102
Toyota,Corolla CE 4dr,Front,Asia,Sedan,4,1.8,130,"$13,065 ",178,32,40,"$14,085 ",2502,102
Toyota,Corolla LE 4dr,Front,Asia,Sedan,4,1.8,130,"$13,889 ",178,32,40,"$15,295 ",2524,102
Toyota,Corolla S 4dr,Front,Asia,Sedan,4,1.8,130,"$13,650 ",178,32,40,"$15,030 ",2524,102
Toyota,Echo 2dr auto,Front,Asia,Sedan,4,1.5,108,"$10,896 ",163,33,39,"$11,560 ",2085,93
Toyota,Echo 2dr manual,Front,Asia,Sedan,4,1.5,108,"$10,144 ",163,35,43,"$10,760 ",2035,93
Toyota,Echo 4dr,Front,Asia,Sedan,4,1.5,108,"$10,642 ",163,35,43,"$11,290 ",2055,93
Toyota,Highlander V6,All,Asia,SUV,6,3.3,230,"$24,915 ",185,18,24,"$27,930 ",3935,107
Toyota,Land Cruiser,All,Asia,SUV,8,4.7,325,"$47,986 ",193,13,17,"$54,765 ",5390,112
Toyota,Matrix XR,Front,Asia,Wagon,4,1.8,130,"$15,156 ",171,29,36,"$16,695 ",2679,102
Toyota,MR2 Spyder convertible 2dr,Rear,Asia,Sports,4,1.8,138,"$22,787 ",153,26,32,"$25,130 ",2195,97
Toyota,Prius 4dr (gas/electric),Front,Asia,Hybrid,4,1.5,110,"$18,926 ",175,59,51,"$20,510 ",2890,106
Toyota,RAV4,All,Asia,SUV,4,2.4,161,"$18,553 ",167,22,27,"$20,290 ",3119,98
Toyota,Sequoia SR5,All,Asia,SUV,8,4.7,240,"$31,827 ",204,14,17,"$35,695 ",5270,118
Toyota,Sienna CE,Front,Asia,Sedan,6,3.3,230,"$21,198 ",200,19,27,"$23,495 ",4120,119
Toyota,Sienna XLE Limited,Front,Asia,Sedan,6,3.3,230,"$25,690 ",200,19,27,"$28,800 ",4165,119
Toyota,Tacoma,Rear,Asia,Truck,4,2.4,142,"$11,879 ",191,22,27,"$12,800 ",2750,103
Toyota,Tundra Access Cab V6 SR5,All,Asia,Truck,6,3.4,190,"$23,520 ",218,14,17,"$25,935 ",4435,128
Toyota,Tundra Regular Cab V6,Rear,Asia,Truck,6,3.4,190,"$14,978 ",218,16,18,"$16,495 ",3925,128
Volkswagen,Golf GLS 4dr,Front,Europe,Sedan,4,2,115,"$17,478 ",165,24,31,"$18,715 ",2897,99
Volkswagen,GTI 1.8T 2dr hatch,Front,Europe,Sedan,4,1.8,180,"$18,109 ",168,24,31,"$19,825 ",2934,99
Volkswagen,Jetta GL,Front,Europe,Wagon,4,2,115,"$17,427 ",174,24,30,"$19,005 ",3034,99
Volkswagen,Jetta GLI VR6 4dr,Front,Europe,Sedan,6,2.8,200,"$21,686 ",172,21,30,"$23,785 ",3179,99
Volkswagen,Jetta GLS TDI 4dr,Front,Europe,Sedan,4,1.9,100,"$19,638 ",172,38,46,"$21,055 ",3003,99
Volkswagen,New Beetle GLS 1.8T 2dr,Front,Europe,Sedan,4,1.8,150,"$19,638 ",161,24,31,"$21,055 ",2820,99
Volkswagen,New Beetle GLS convertible 2dr,Front,Europe,Sedan,4,2,115,"$21,689 ",161,24,30,"$23,215 ",3082,99
Volkswagen,Passat GLS 1.8T,Front,Europe,Wagon,4,1.8,170,"$22,801 ",184,22,31,"$24,955 ",3338,106
Volkswagen,Passat GLS 4dr,Front,Europe,Sedan,4,1.8,170,"$21,898 ",185,22,31,"$23,955 ",3241,106
Volkswagen,Passat GLX V6 4MOTION 4dr,Front,Europe,Sedan,6,2.8,190,"$30,583 ",185,19,26,"$33,180 ",3721,106
Volkswagen,Passat W8,Front,Europe,Wagon,8,4,270,"$36,956 ",184,18,25,"$40,235 ",4067,106
Volkswagen,Passat W8 4MOTION 4dr,Front,Europe,Sedan,8,4,270,"$36,052 ",185,18,25,"$39,235 ",3953,106
Volkswagen,Phaeton 4dr,Front,Europe,Sedan,8,4.2,335,"$59,912 ",204,16,22,"$65,000 ",5194,118
Volkswagen,Phaeton W12 4dr,Front,Europe,Sedan,12,6,420,"$69,130 ",204,12,19,"$75,000 ",5399,118
Volkswagen,Touareg V6,All,Europe,SUV,6,3.2,220,"$32,243 ",187,15,20,"$35,515 ",5086,112
Volvo,C70 HPT convertible 2dr,Front,Europe,Sedan,5,2.3,242,"$40,083 ",186,20,26,"$42,565 ",3450,105
Volvo,C70 LPT convertible 2dr,Front,Europe,Sedan,5,2.4,197,"$38,203 ",186,21,28,"$40,565 ",3450,105
Volvo,S40 4dr,Front,Europe,Sedan,4,1.9,170,"$23,701 ",178,22,29,"$25,135 ",2767,101
Volvo,S60 2.5 4dr,All,Europe,Sedan,5,2.5,208,"$29,916 ",180,20,27,"$31,745 ",3903,107
Volvo,S60 R 4dr,All,Europe,Sedan,5,2.5,300,"$35,382 ",181,18,25,"$37,560 ",3571,107
Volvo,S60 T5 4dr,Front,Europe,Sedan,5,2.3,247,"$32,902 ",180,20,28,"$34,845 ",3766,107
Volvo,S80 2.5T 4dr,All,Europe,Sedan,5,2.5,194,"$35,688 ",190,20,27,"$37,885 ",3691,110
Volvo,S80 2.9 4dr,Front,Europe,Sedan,6,2.9,208,"$35,542 ",190,20,28,"$37,730 ",3576,110
Volvo,S80 T6 4dr,Front,Europe,Sedan,6,2.9,268,"$42,573 ",190,19,26,"$45,210 ",3653,110
Volvo,V40,Front,Europe,Wagon,4,1.9,170,"$24,641 ",180,22,29,"$26,135 ",2822,101
Volvo,XC70,All,Europe,Wagon,5,2.5,208,"$33,112 ",186,20,27,"$35,145 ",3823,109
Volvo,XC90 T6,All,Europe,SUV,6,2.9,268,"$38,851 ",189,15,20,"$41,250 ",4638,113
